image_id,image_filename,url,label,category,locator,prompt,x1,y1,x2,y2
1,www.amazon.com_000_clean.png,https://www.amazon.com,Prime Day is July 8 to 11,Banner/Alert,Prime Day banner at the top of the page,Click element: Prime Day banner at the top of the page,44,84,1518,342
1,www.amazon.com_000_clean.png,https://www.amazon.com,Join Prime,Button,Join Prime button within the Prime Day banner,Click element: Join Prime button within the Prime Day banner,374,250,470,282
1,www.amazon.com_000_clean.png,https://www.amazon.com,Sign in,Button,Sign in button in the top right corner,Click element: Sign in button in the top right corner,1310,80,1354,100
1,www.amazon.com_000_clean.png,https://www.amazon.com,Cart,Link,Cart link in the top right corner,Click element: Cart link in the top right corner,1534,28,1562,44
1,www.amazon.com_000_clean.png,https://www.amazon.com,Pre-loved jewelry,Text Area,Heading for the pre-loved jewelry section,Click element: Heading for the pre-loved jewelry section,80,370,254,396
1,www.amazon.com_000_clean.png,https://www.amazon.com,Cartier,Image,Image representing Cartier jewelry,Click element: Image representing Cartier jewelry,84,410,230,518
1,www.amazon.com_000_clean.png,https://www.amazon.com,Warm-weather looks,Text Area,Heading for the warm-weather looks section,Click element: Heading for the warm-weather looks section,450,370,654,394
1,www.amazon.com_000_clean.png,https://www.amazon.com,Bottoms,Link,Link to 'Bottoms' within the warm-weather looks section,Click element: Link to 'Bottoms' within the warm-weather looks section,452,522,496,538
1,www.amazon.com_000_clean.png,https://www.amazon.com,Dresses for sunny days,Text Area,Heading for the dresses section,Click element: Heading for the dresses section,820,370,1060,394
1,www.amazon.com_000_clean.png,https://www.amazon.com,Floral,Link,Link to 'Floral' dresses,Click element: Link to 'Floral' dresses,822,522,852,538
1,www.amazon.com_000_clean.png,https://www.amazon.com,Sign in for the best experience,Text Area,Text prompting sign-in for a better experience,Click element: Text prompting sign-in for a better experience,1194,370,1498,396
1,www.amazon.com_000_clean.png,https://www.amazon.com,Sign in securely,Button,Button to sign in securely,Click element: Button to sign in securely,1194,410,1502,438
1,www.amazon.com_000_clean.png,https://www.amazon.com,Prime members save up to 80%,Banner/Alert,Amazon Pharmacy promotion banner,Click element: Amazon Pharmacy promotion banner,1194,518,1498,768
1,www.amazon.com_000_clean.png,https://www.amazon.com,Now on Amazon: Rebag,Text Area,Heading for the Rebag section,Click element: Heading for the Rebag section,82,808,322,836
1,www.amazon.com_000_clean.png,https://www.amazon.com,Gear up for outdoor fun,Text Area,Heading for the outdoor fun section,Click element: Heading for the outdoor fun section,450,808,688,836
1,www.amazon.com_000_clean.png,https://www.amazon.com,Summer beauty trends,Text Area,Heading for the summer beauty trends section,Click element: Heading for the summer beauty trends section,824,808,1048,836
1,www.amazon.com_000_clean.png,https://www.amazon.com,Refresh your beauty routine,Text Area,Heading for the beauty routine section,Click element: Heading for the beauty routine section,1194,808,1472,836
1,www.amazon.com_000_clean.png,https://www.amazon.com,All,Menu Item,All menu item in the top left corner,Click element: All menu item in the top left corner,20,68,60,92
1,www.amazon.com_000_clean.png,https://www.amazon.com,Amazon Haul,Menu Item,Amazon Haul menu item,Click element: Amazon Haul menu item,76,64,168,92
1,www.amazon.com_000_clean.png,https://www.amazon.com,Medical Care,Menu Item,Medical Care menu item,Click element: Medical Care menu item,172,64,286,94
7,www.amazon.com_000_font_clean.png,https://www.amazon.com,Amazon logo,Image,Amazon logo on top left,Click element: Amazon logo on top left,20,16,116,44
7,www.amazon.com_000_font_clean.png,https://www.amazon.com,Search Amazon,Input Field,Search bar in the header,Click element: Search bar in the header,390,12,1120,48
7,www.amazon.com_000_font_clean.png,https://www.amazon.com,"Hello, sign in",Link,Sign-in link in the header,Click element: Sign-in link in the header,1266,16,1334,32
7,www.amazon.com_000_font_clean.png,https://www.amazon.com,Prime Day is July 8 to 11,Banner/Alert,Prime Day banner,Click element: Prime Day banner,40,96,1518,342
7,www.amazon.com_000_font_clean.png,https://www.amazon.com,Join Prime,Button,Join Prime button,Click element: Join Prime button,374,250,470,280
7,www.amazon.com_000_font_clean.png,https://www.amazon.com,Pre-loved jewelry,Text Area,Section title 'Pre-loved jewelry',Click element: Section title 'Pre-loved jewelry',80,370,274,394
7,www.amazon.com_000_font_clean.png,https://www.amazon.com,Cartier,Image,Cartier jewelry image,Click element: Cartier jewelry image,82,406,230,518
7,www.amazon.com_000_font_clean.png,https://www.amazon.com,Warm-weather looks,Text Area,Section title 'Warm-weather looks',Click element: Section title 'Warm-weather looks',452,370,678,394
7,www.amazon.com_000_font_clean.png,https://www.amazon.com,Bottoms,Link,Bottoms link within 'Warm-weather looks',Click element: Bottoms link within 'Warm-weather looks',452,522,498,538
